FechaParticipacion;¿Con qué finalidad se dirige habitualmente a la Hemeroteca Municipal?;¿Con qué frecuencia acude a la Hemeroteca Municipal?;¿Ha utilizado el servicio de consulta en sala?;Por favor, valore de 0 a 10 su grado de satisfacción con el servicio de consulta en sala.;¿Ha utilizado el servicio de reprografía?;Satisfacción general con el servicio de reprografía;¿Ha participado en alguna actividad organizada por la Hemeroteca Municipal (visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;Satisfacción con las actividades culturales;Servicio de información general y especializada;Uso de la red wifi;Hemerotecas digitales y recursos en línea;Acceso a plataformas de prensa (ORBYT, KIOSCO Y MÁS, etc.);Servicio de información general y especializada2;¿Qué fondos son los que más consulta en la Hemeroteca Municipal de Madrid?;¿Conoce la página web de la Hemeroteca Municipal?;La actualización de la información y los contenidos;La facilidad de la búsqueda en el catálogo;La facilidad de localización de obras digitalizadas;Tiempo de descarga de los documentos digitalizados;El edificio y las instalaciones;El horario de apertura;La información general y especializada recibida;El trato y la atención recibidos;¿Cuál es su valoración general de la Hemeroteca Municipal y sus servicios? Valore su satisfacción de 0 a 10.;¿En cuál de los siguientes grupos de edad se encuentra usted?;De manera global, el servicio prestado por la Hemeroteca Municipal ha sido:
2022-10-24 11:54:54. 0;Interés profesional;Varias veces al año;Sí;10;No;;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;Sí;10;10;10;6;10;4;10;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-24 11:58:39. 0;Investigación y estudio;Varias veces al año;Sí;10;Sí;9;No;;Sí;Sí;Sí;No;9;Publicaciones periódicas siglo XX;Sí;6;6;5;5;9;9;10;10;9;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 11:59:51. 0;Interés profesional;Ocasionalmente;Sí;10;Sí;10;Sí;10;No;No;No;No;No sabe, no contesta;Publicaciones periódicas siglo XX;Sí;No sabe, no contesta;8;8;No sabe, no contesta;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 12:3:58. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;Sí;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";Sí;8;5;8;6;10;10;10;8;10;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 12:5:25. 0;Interés profesional;Varias veces al año;Sí;10;No;;No;;Sí;Sí;Sí;No;10;Publicaciones periódicas siglo XX;Sí;6;9;7;6;10;10;10;10;10;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 12:19:35. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;No;No;No;No;NS/NC;Publicaciones periódicas siglo XX;No;;;;;9;9;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-24 12:25:20. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;No;No;No;No;NS/NC;Publicaciones periódicas siglo XX;No;;;;;10;10;10;10;10;Más de 65 años;Igual de lo que esperaba
2022-10-24 12:32:7. 0;Investigación y estudio;Una vez al año;Sí;10;No;;No;;Sí;Sí;Sí;No;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";No;;;;;10;10;10;10;10;De 18 a 29 años;Igual de lo que esperaba
2022-10-24 12:34:56. 0;Interés personal;Varias veces al año;Sí;10;Sí;9;No;;Sí;No;Sí;Sí;NS/NC;"Publicaciones siglos XVII-XVIII;Publicaciones periódicas siglo XIX";Sí;8;9;8;9;9;9;9;10;9;Más de 65 años;Igual de lo que esperaba
2022-10-24 12:50:14. 0;Interés profesional;Ocasionalmente;Sí;10;Sí;9;No;;Sí;Sí;Sí;Sí;10;Publicaciones periódicas siglo XX;No;;;;;10;9;9;7;9;De 45 a 64 años;Mejor de lo que esperaba
